modell,eset,spearman,top5_atfedes,top1_egyezes
xgboost,371,0.780701754385965,0.6,1
xgboost,403,0.6315789473684211,0.8,1
xgboost,435,0.6824561403508772,0.8,1
xgboost,446,0.5,0.8,1
xgboost,456,0.38245614035087716,0.6,1
xgboost,478,0.6719298245614035,0.8,1
xgboost,492,0.7052631578947368,0.8,1
xgboost,494,0.7350877192982455,0.8,0
xgboost,501,0.687719298245614,0.8,1
xgboost,508,0.7754385964912281,0.8,0
xgboost,536,0.5719298245614035,0.6,1
xgboost,542,0.6087719298245614,0.8,0
xgboost,562,0.27368421052631575,0.4,0
xgboost,567,0.8614035087719297,0.8,0
xgboost,574,0.6666666666666666,0.6,1
xgboost,591,0.8614035087719297,0.8,1
xgboost,596,0.6719298245614035,1.0,1
xgboost,601,0.5947368421052631,0.6,1
xgboost,602,0.7508771929824561,0.8,1
xgboost,606,0.6403508771929824,0.8,1
xgboost,607,0.863157894736842,0.6,1
xgboost,634,0.7228070175438598,0.8,1
xgboost,637,0.6000000000000001,0.6,0
xgboost,645,0.7280701754385965,0.8,1
xgboost,656,0.6298245614035087,0.8,1
xgboost,663,0.6561403508771929,0.8,0
xgboost,676,0.8035087719298245,0.8,1
xgboost,678,0.6842105263157895,0.8,0
xgboost,692,0.5614035087719299,0.6,1
xgboost,727,0.39473684210526316,0.6,1
xgboost,742,0.7719298245614035,0.6,1
xgboost,744,0.5771929824561403,0.8,1
xgboost,781,0.8087719298245614,0.8,0
xgboost,849,0.4280701754385965,0.4,0
xgboost,856,0.5947368421052631,0.6,0
xgboost,875,0.512280701754386,0.6,0
xgboost,894,0.5526315789473685,0.8,1
xgboost,915,0.6421052631578947,0.6,1
xgboost,917,0.8649122807017543,0.8,1
xgboost,927,0.6666666666666666,0.8,0
xgboost,932,0.7245614035087719,0.6,0
xgboost,944,0.5228070175438596,0.8,1
xgboost,947,0.6543859649122807,0.8,1
xgboost,957,0.6964912280701754,0.8,0
xgboost,969,0.6263157894736843,0.8,0
xgboost,974,0.8350877192982457,0.6,0
xgboost,1003,0.7087719298245614,0.6,0
xgboost,1011,0.8894736842105263,0.8,0
xgboost,1013,0.6543859649122807,0.8,1
xgboost,1018,0.7456140350877193,0.8,0
xgboost,1021,0.6298245614035087,0.8,1
xgboost,1030,0.44912280701754387,0.6,1
xgboost,1038,0.7350877192982455,0.8,0
xgboost,1039,0.7140350877192982,0.8,0
xgboost,1054,0.6350877192982456,0.6,1
xgboost,1070,0.6929824561403508,0.6,1
xgboost,1094,0.4473684210526316,0.6,1
xgboost,1096,0.6701754385964912,1.0,1
xgboost,1111,0.7333333333333334,0.6,1
xgboost,1124,0.7894736842105263,0.8,0
xgboost,1125,0.5929824561403508,0.6,1
xgboost,1151,0.7228070175438598,0.6,1
xgboost,1156,0.7228070175438598,0.6,1
xgboost,1161,0.8789473684210527,0.6,0
xgboost,1176,0.48245614035087714,0.8,1
xgboost,1189,0.687719298245614,0.8,1
xgboost,1208,0.5894736842105263,0.8,1
xgboost,1231,0.6017543859649123,0.6,1
xgboost,1242,0.7771929824561404,0.8,1
xgboost,1257,0.419298245614035,0.4,1
xgboost,1260,0.48245614035087714,0.8,1
xgboost,1284,0.8017543859649122,0.8,1
xgboost,1303,0.7087719298245614,0.8,0
xgboost,1311,0.7736842105263159,0.8,0
xgboost,1324,0.7491228070175439,0.8,0
xgboost,1330,0.6263157894736843,0.8,1
xgboost,1337,0.8087719298245614,0.8,1
xgboost,1342,0.6719298245614035,0.6,0
xgboost,1356,0.4298245614035088,0.6,1
xgboost,1379,0.7228070175438598,0.6,1
