modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
logreg,1138,0-1,0.5087719298245614,0.6,1
logreg,1138,0-2,0.712280701754386,0.8,1
logreg,1138,1-2,0.44912280701754387,0.6,1
logreg,1151,0-1,0.9350877192982456,0.8,1
logreg,1151,0-2,0.7824561403508771,0.8,0
logreg,1151,1-2,0.8368421052631579,1.0,0
logreg,1152,0-1,0.8245614035087718,1.0,1
logreg,1152,0-2,0.7333333333333334,1.0,1
logreg,1152,1-2,0.8543859649122807,1.0,1
logreg,1160,0-1,0.8614035087719297,0.8,1
logreg,1160,0-2,0.8508771929824561,0.8,1
logreg,1160,1-2,0.7982456140350876,0.6,1
logreg,1167,0-1,0.6157894736842106,0.6,0
logreg,1167,0-2,0.6947368421052632,0.6,1
logreg,1167,1-2,0.6140350877192983,0.8,0
logreg,1187,0-1,0.882456140350877,0.8,1
logreg,1187,0-2,0.8333333333333334,1.0,1
logreg,1187,1-2,0.9157894736842105,0.8,1
logreg,1209,0-1,0.8070175438596491,0.8,1
logreg,1209,0-2,0.7947368421052632,0.8,1
logreg,1209,1-2,0.6403508771929824,0.8,1
logreg,1214,0-1,0.7982456140350876,0.8,1
logreg,1214,0-2,0.763157894736842,0.8,1
logreg,1214,1-2,0.8421052631578947,1.0,1
logreg,1227,0-1,0.8649122807017543,0.8,1
logreg,1227,0-2,0.7754385964912281,0.6,1
logreg,1227,1-2,0.7947368421052632,0.8,1
logreg,1237,0-1,0.8491228070175438,1.0,1
logreg,1237,0-2,0.8912280701754386,1.0,1
logreg,1237,1-2,0.8508771929824561,1.0,1
logreg,1246,0-1,0.8368421052631579,0.8,1
logreg,1246,0-2,0.6912280701754386,0.8,1
logreg,1246,1-2,0.756140350877193,0.8,1
logreg,1256,0-1,0.8508771929824561,0.8,0
logreg,1256,0-2,0.8070175438596491,0.8,1
logreg,1256,1-2,0.7614035087719299,0.8,0
logreg,1259,0-1,0.5736842105263157,0.8,1
logreg,1259,0-2,0.5017543859649122,0.8,1
logreg,1259,1-2,0.7719298245614035,0.8,1
logreg,1299,0-1,0.8298245614035088,0.8,1
logreg,1299,0-2,0.8842105263157896,1.0,1
logreg,1299,1-2,0.8701754385964912,0.8,1
logreg,1300,0-1,0.8771929824561402,1.0,1
logreg,1300,0-2,0.7403508771929824,0.6,0
logreg,1300,1-2,0.7824561403508771,0.6,0
logreg,1309,0-1,0.7315789473684211,0.8,1
logreg,1309,0-2,0.9105263157894736,0.8,1
logreg,1309,1-2,0.7280701754385965,0.8,1
logreg,1314,0-1,0.843859649122807,1.0,1
logreg,1314,0-2,0.9175438596491228,0.8,1
logreg,1314,1-2,0.8350877192982457,0.8,1
