modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,1,904,1.0,1.0,1
logreg,shap,0.01,1,908,1.0,1.0,1
logreg,shap,0.01,1,927,1.0,1.0,1
logreg,shap,0.01,1,934,1.0,1.0,1
logreg,shap,0.01,1,939,0.9982456140350877,1.0,1
logreg,shap,0.01,1,943,1.0,1.0,1
logreg,shap,0.01,1,945,1.0,1.0,1
logreg,shap,0.01,1,954,1.0,1.0,1
logreg,shap,0.01,1,959,1.0,1.0,1
logreg,shap,0.01,1,961,1.0,1.0,1
logreg,shap,0.01,1,967,1.0,1.0,1
logreg,shap,0.01,1,976,0.9982456140350877,1.0,1
logreg,shap,0.01,1,990,1.0,1.0,1
logreg,shap,0.01,1,993,1.0,1.0,1
logreg,shap,0.01,1,996,0.9736842105263157,1.0,1
logreg,shap,0.01,1,1014,1.0,1.0,1
logreg,shap,0.01,1,1015,1.0,1.0,1
logreg,shap,0.01,1,1019,1.0,1.0,1
logreg,shap,0.01,1,1023,1.0,1.0,1
logreg,shap,0.01,1,1027,1.0,1.0,1
logreg,shap,0.01,1,1028,1.0,1.0,1
logreg,shap,0.01,1,1031,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1039,1.0,1.0,1
logreg,shap,0.01,1,1043,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1052,1.0,1.0,1
logreg,shap,0.01,1,1063,1.0,1.0,1
logreg,shap,0.01,1,1065,1.0,1.0,1
logreg,shap,0.01,1,1070,1.0,1.0,1
logreg,shap,0.01,1,1073,1.0,1.0,1
logreg,shap,0.01,1,1077,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1087,1.0,1.0,1
logreg,shap,0.01,1,1092,1.0,1.0,1
logreg,shap,0.01,1,1100,1.0,1.0,1
logreg,shap,0.01,1,1112,1.0,1.0,1
logreg,shap,0.01,1,1116,1.0,1.0,1
logreg,shap,0.01,1,1119,1.0,1.0,1
logreg,shap,0.01,1,1137,1.0,1.0,1
logreg,shap,0.01,1,1138,0.9824561403508772,0.8,1
logreg,shap,0.01,1,1151,1.0,1.0,1
logreg,shap,0.01,1,1152,1.0,1.0,1
logreg,shap,0.01,1,1160,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1167,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1187,1.0,1.0,1
logreg,shap,0.01,1,1209,1.0,1.0,1
logreg,shap,0.01,1,1214,1.0,1.0,1
logreg,shap,0.01,1,1227,1.0,1.0,1
logreg,shap,0.01,1,1237,1.0,1.0,1
logreg,shap,0.01,1,1246,1.0,1.0,1
logreg,shap,0.01,1,1256,1.0,1.0,1
logreg,shap,0.01,1,1259,1.0,1.0,1
logreg,shap,0.01,1,1299,1.0,1.0,1
logreg,shap,0.01,1,1300,1.0,1.0,1
logreg,shap,0.01,1,1309,1.0,1.0,1
logreg,shap,0.01,1,1314,1.0,1.0,1
logreg,shap,0.01,1,1316,1.0,1.0,1
logreg,shap,0.01,1,1322,1.0,1.0,1
logreg,shap,0.01,1,1339,1.0,1.0,1
logreg,shap,0.01,1,1340,1.0,1.0,1
logreg,shap,0.01,1,1343,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1344,1.0,1.0,1
logreg,shap,0.01,1,1348,1.0,1.0,1
logreg,shap,0.01,1,1351,1.0,1.0,1
logreg,shap,0.01,1,1354,1.0,1.0,1
logreg,shap,0.01,1,1360,1.0,1.0,1
logreg,shap,0.01,1,1368,1.0,1.0,1
logreg,shap,0.01,1,1379,1.0,1.0,1
logreg,shap,0.01,1,1383,1.0,1.0,1
logreg,shap,0.01,1,1389,0.9982456140350877,1.0,1
logreg,shap,0.01,1,1392,1.0,1.0,1
logreg,shap,0.01,1,1395,1.0,1.0,1
logreg,shap,0.01,2,9,1.0,1.0,1
logreg,shap,0.01,2,31,1.0,1.0,1
logreg,shap,0.01,2,41,1.0,1.0,1
logreg,shap,0.01,2,46,1.0,1.0,1
logreg,shap,0.01,2,49,1.0,1.0,1
logreg,shap,0.01,2,55,1.0,1.0,1
logreg,shap,0.01,2,79,1.0,1.0,1
logreg,shap,0.01,2,84,1.0,1.0,1
logreg,shap,0.01,2,97,1.0,1.0,1
logreg,shap,0.01,2,104,1.0,1.0,1
logreg,shap,0.01,2,105,1.0,1.0,1
logreg,shap,0.01,2,107,1.0,1.0,1
logreg,shap,0.01,2,114,1.0,1.0,1
logreg,shap,0.01,2,121,1.0,1.0,1
logreg,shap,0.01,2,122,1.0,1.0,1
logreg,shap,0.01,2,123,1.0,1.0,1
logreg,shap,0.01,2,125,1.0,1.0,1
logreg,shap,0.01,2,146,1.0,1.0,1
logreg,shap,0.01,2,151,1.0,1.0,1
logreg,shap,0.01,2,156,1.0,1.0,1
logreg,shap,0.01,2,165,1.0,1.0,1
logreg,shap,0.01,2,166,1.0,1.0,1
logreg,shap,0.01,2,171,0.9982456140350877,1.0,1
logreg,shap,0.01,2,182,1.0,1.0,1
logreg,shap,0.01,2,184,0.9894736842105263,0.8,1
logreg,shap,0.01,2,194,1.0,1.0,1
logreg,shap,0.01,2,205,1.0,1.0,1
logreg,shap,0.01,2,206,1.0,1.0,1
logreg,shap,0.01,2,211,1.0,1.0,1
logreg,shap,0.01,2,223,1.0,1.0,1
logreg,shap,0.01,2,224,1.0,1.0,1
logreg,shap,0.01,2,229,1.0,1.0,1
logreg,shap,0.01,2,231,0.9947368421052631,1.0,1
logreg,shap,0.01,2,241,1.0,1.0,1
